FarmerID,LastName,Age,Gender,LandID,Area,City,Wilaya
201,Abdi,35,Male,601,Constantine,Constantine,El Khroub
202,Boukli,28,Female,602,Annaba,Annaba,Berrahal
203,Saadani,39,Male,603,Tizi Ouzou,Tizi Ouzou,Azeffoun
204,Mimoune,31,Female,604,Blida,Blida,Bir Mourad Raïs
205,Ziane,37,Male,605,Algiers,Algiers,Aïn Benian
206,Boudjelida,40,Female,606,Oran,Oran,Aïn El Turk
207,Azzi,33,Male,607,Constantine,Constantine,Sétif
208,Khodja,29,Female,608,Annaba,Annaba,El Bouni
209,Touati,36,Male,609,Tizi Ouzou,Tizi Ouzou,Tizi Rached
210,Benmoussa,42,Female,610,Blida,Blida,Boufarik
211,Messaoud,27,Male,611,Algiers,Algiers,El Harrach
212,Meziani,38,Female,612,Oran,Oran,Bir El Djir
213,Louafi,40,Male,613,Constantine,Constantine,El Khroub
214,Belarbi,27,Female,614,Annaba,Annaba,Berrahal
215,Kebir,28,Male,615,Tizi Ouzou,Tizi Ouzou,Azeffoun
216,Bounab,44,Female,616,Blida,Blida,Bir Mourad Raïs
217,Mekki,30,Male,617,Algiers,Algiers,Aïn Benian
218,Saadane,36,Female,618,Oran,Oran,Aïn El Turk
219,Hanoune,33,Male,619,Constantine,Constantine,Sétif
220,Boudiaf,29,Female,620,Annaba,Annaba,El Bouni
221,Chibane,38,Male,621,Tizi Ouzou,Tizi Ouzou,Tizi Rached
222,Berrouaghia,27,Female,622,Blida,Blida,Boufarik
223,Zaoui,27,Male,623,Algiers,Algiers,El Harrach
224,Kaci,40,Female,624,Oran,Oran,Bir El Djir
225,Hamidi,29,Male,625,Constantine,Constantine,El Khroub
226,Lamara,38,Female,626,Annaba,Annaba,Berrahal
227,Bouchouareb,29,Male,627,Tizi Ouzou,Tizi Ouzou,Azeffoun
228,Medjadi,44,Female,628,Blida,Blida,Bir Mourad Raïs
229,Djamaa,28,Male,629,Algiers,Algiers,Aïn Benian
230,Bouaziz,33,Female,630,Oran,Oran,Aïn El Turk
231,Mefti,42,Male,631,Constantine,Constantine,Sétif
232,Zouaoui,29,Female,632,Annaba,Annaba,El Bouni
233,Benhamouda,38,Male,633,Tizi Ouzou,Tizi Ouzou,Tizi Rached
234,Hamoudi,27,Female,634,Blida,Blida,Boufarik
235,Lekjaa,27,Male,635,Algiers,Algiers,El Harrach
236,Boudjellal,40,Female,636,Oran,Oran,Bir El Djir
237,Bensaoula,29,Male,637,Constantine,Constantine,El Khroub
238,Chiboub,38,Female,638,Annaba,Annaba,Berrahal
239,Arsalane,33,Male,639,Tizi Ouzou,Tizi Ouzou,Azeffoun
240,Bounedjah,29,Female,640,Blida,Blida,Bir Mourad Raïs
241,Mokrani,38,Male,641,Algiers,Algiers,Aïn Benian
242,Laamari,31,Female,642,Oran,Oran,Aïn El Turk
243,Djebbari,27,Male,643,Constantine,Constantine,Sétif
244,Sidhoum,41,Female,644,Annaba,Annaba,El Bouni
245,Mahrez,35,Male,645,Tizi Ouzou,Tizi Ouzou,Tizi Rached
246,Saadani,29,Female,646,Blida,Blida,Boufarik
247,Chalali,29,Male,647,Algiers,Algiers,El Harrach
248,Benali,44,Female,648,Oran,Oran,Bir El Djir
249,Halliche,28,Male,649,Constantine,Constantine,El Khroub
250,Feghouli,44,Female,650,Annaba,Annaba,Berrahal
251,Aribi,30,Male,651,Tizi Ouzou,Tizi Ouzou,Azeffoun
252,Benguit,42,Female,652,Blida,Blida,Bir Mourad Raïs
253,Atal,29,Male,653,Algiers,Algiers,Aïn Benian
254,Saadi,38,Female,654,Oran,Oran,Aïn El Turk
255,Bounoua,33,Male,655,Constantine,Constantine,Sétif
256,Djemaouni,29,Female,656,Annaba,Annaba,El Bouni
257,Mahboubi,44,Male,657,Tizi Ouzou,Tizi Ouzou,Tizi Rached
258,Kaci,31,Female,658,Blida,Blida,Boufarik
259,Bougherra,27,Male,659,Algiers,Algiers,El Harrach
260,Bouguerra,40,Female,660,Oran,Oran,Bir El Djir
261,Mansouri,29,Male,661,Constantine,Constantine,El Khroub
262,Taleb,36,Female,662,Annaba,Annaba,Berrahal
263,Belkalem,42,Male,663,Tizi Ouzou,Tizi Ouzou,Azeffoun
264,Hadjadj,27,Female,664,Blida,Blida,Bir Mourad Raïs
265,Ferhat,27,Male,665,Algiers,Algiers,Aïn Benian
